,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime
0,0,0 days 03:04:00,32316.421153846153,35.151160096454674,109.5344086021505,2020-08-11 16:34:00,2020-08-11 19:38:00,0
1,1,0 days 01:50:00,52832.12499999999,60.79871778900885,-197.12008928571439,2020-08-12 20:04:00,2020-08-12 21:54:00,0
2,2,0 days 00:26:00,17202.40000000001,25.95140297169995,160.346428571429,2020-08-18 12:04:00,2020-08-18 12:30:00,0
3,3,0 days 00:08:00,15585.850000000006,16.024237071749667,-2804.925,2020-08-18 18:28:00,2020-08-18 18:36:00,0
4,4,0 days 02:06:00,37693.55,72.73959689192462,10.646093749999807,2020-08-21 07:36:00,2020-08-21 09:42:00,0
5,5,0 days 00:40:00,25720.314743589755,28.098662837476567,-186.17023809523795,2020-08-24 15:44:00,2020-08-24 16:24:00,0
6,6,0 days 00:40:00,35028.375,39.30327422795161,-495.496428571428,2020-08-24 19:42:00,2020-08-24 20:22:00,0
7,7,0 days 01:18:00,52749.343181818185,92.453457310409,-85.13374999999988,2020-08-26 09:44:00,2020-08-26 11:02:00,0
8,8,0 days 00:40:00,17353.47499999999,17.859611937403002,-132.60000000000028,2020-08-28 16:58:00,2020-08-28 17:38:00,0
9,9,0 days 00:22:00,26456.925000000003,36.92039597052026,-1168.3645833333333,2020-08-30 10:00:00,2020-08-30 10:22:00,0
10,10,0 days 00:18:00,11993.575000000012,14.637561369577057,-278.9074999999997,2020-09-01 14:36:00,2020-09-01 14:54:00,0
11,11,0 days 00:28:00,26619.083333333336,37.02803395976204,-240.78666666666686,2020-09-05 11:08:00,2020-09-05 11:36:00,0
12,12,0 days 00:22:00,29528.27500000001,28.39935109510516,-963.4333333333343,2020-09-07 18:48:00,2020-09-07 19:10:00,0
13,13,0 days 00:18:00,9670.299999999988,11.820054722588736,-1030.2625,2020-09-08 18:20:00,2020-09-08 18:38:00,0
14,14,0 days 00:10:00,8258.724999999991,9.318801581845605,-713.7458333333319,2020-09-17 18:06:00,2020-09-17 18:16:00,0
15,15,0 days 01:18:00,70164.1052631579,100.0,-83.80062500000022,2020-09-20 23:04:00,2020-09-21 00:22:00,0
16,16,0 days 00:28:00,35249.34102564103,60.29585103280094,-288.62166666666695,2020-09-22 13:12:00,2020-09-22 13:40:00,0
17,17,0 days 00:58:00,15326.875,24.56974147618429,-122.2225000000001,2020-10-01 21:24:00,2020-10-01 22:22:00,0
18,18,0 days 00:28:00,7563.375,14.198994780537106,-78.72521505376353,2020-10-04 06:56:00,2020-10-04 07:24:00,0
19,19,0 days 00:28:00,14703.849999999999,19.6393844197614,-285.8616666666659,2020-10-13 16:32:00,2020-10-13 17:00:00,0
20,20,0 days 00:26:00,16090.322537112006,29.876798006083334,-1079.6999999999996,2020-10-17 06:14:00,2020-10-17 06:40:00,0
21,21,0 days 00:18:00,15301.425000000003,18.141370358042337,-351.10750000000115,2020-11-01 14:28:00,2020-11-01 14:46:00,0
22,22,0 days 00:28:00,35789.700000000004,39.14336665305005,-1455.9149999999995,2020-11-09 18:26:00,2020-11-09 18:54:00,0
23,23,0 days 00:28:00,25351.475000000006,32.4631641356049,-194.41666666666666,2020-11-09 19:08:00,2020-11-09 19:36:00,0
24,24,0 days 00:24:00,10569.550000000003,11.790648513277603,-660.6903846153839,2020-11-21 03:12:00,2020-11-21 03:36:00,0
25,25,0 days 00:34:00,59625.025,53.413896834404895,-313.2513888888886,2020-11-27 18:56:00,2020-11-27 19:30:00,0
26,26,0 days 00:32:00,35557.12500000001,38.31025302326384,-389.13235294117646,2020-11-28 00:12:00,2020-11-28 00:44:00,0
27,27,0 days 00:50:00,24483.8,46.04048413984131,-11.119230769230713,2020-12-04 12:26:00,2020-12-04 13:16:00,0
28,28,0 days 00:28:00,8609.200000000004,15.49565505374487,-69.10500000000029,2020-12-15 09:02:00,2020-12-15 09:30:00,0
29,29,0 days 00:14:00,4797.049999999988,5.214346313989054,-1.15625,2020-12-16 15:58:00,2020-12-16 16:12:00,0
30,30,0 days 01:06:00,48299.15000000001,43.14548637119082,-202.6588235294116,2020-12-17 19:32:00,2020-12-17 20:38:00,0
31,31,0 days 00:22:00,9989.674999999996,16.57994002646403,-185.02708333333308,2020-12-18 09:28:00,2020-12-18 09:50:00,0
