,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime,pre_slope,recovery_slope,pre_post_difference
0,0,0 days 00:10:00,2486.6500000000015,11.558744302903108,-459.1458333333333,2020-08-10 22:50:00,2020-08-10 23:00:00,0 days 01:08:00,1993.520483920744,-446.34000000000015,-1038.520570105382
1,1,0 days 00:18:00,1735.4852564102566,9.978598047732987,-48.05,2020-08-17 14:48:00,2020-08-17 15:06:00,0 days 00:28:00,563.528422861662,173.81249999999977,-309.92695475398074
2,2,0 days 00:48:00,7793.524999999998,43.16522755343365,-57.84199999999997,2020-08-20 15:44:00,2020-08-20 16:32:00,0 days 01:12:00,-31.57558730162964,371.7044117647058,-833.723689971843
3,3,0 days 00:44:00,4883.15,29.227293131827025,-68.82282608695657,2020-09-03 18:30:00,2020-09-03 19:14:00,0 days 00:52:00,2953.487469209499,211.2236111111111,-456.1189280002443
4,4,0 days 01:18:00,2983.826923076924,17.977304607360907,-66.97815170940171,2020-09-04 17:22:00,2020-09-04 18:40:00,0 days 02:24:00,-3273.619906398956,1.4894005847954759,-1459.6373063638068
5,5,0 days 00:50:00,997.2858974358969,6.975075955027492,25.069017094017138,2020-09-04 18:46:00,2020-09-04 19:36:00,0 days 00:52:00,-5474.033602625333,162.04956140350896,1575.8406789001692
6,6,0 days 00:18:00,1922.5999999999995,19.409370023295082,-39.83249999999989,2020-10-01 14:28:00,2020-10-01 14:46:00,0 days 00:40:00,-1859.4353615866148,158.17142857142866,-403.9292038107849
7,7,0 days 00:42:00,3445.75,48.30090027579488,-21.85909090909089,2020-10-27 10:36:00,2020-10-27 11:18:00,0 days 00:52:00,-483.9555115205085,201.23392857142858,-148.4411433742129
8,8,0 days 01:00:00,7223.75,64.32317637840148,-53.61854838709675,2020-10-31 09:42:00,2020-10-31 10:42:00,1 days 00:02:00,3384.176493236985,-72.58916666666664,-168.5908324897605
9,9,0 days 00:20:00,3862.3500000000004,35.85013366005792,-122.41590909090915,2020-11-04 15:54:00,2020-11-04 16:14:00,0 days 00:34:00,-1469.6100914914678,183.59722222222223,-769.3153902152899
10,10,0 days 00:48:00,2070.4249999999993,14.53922062600617,-13.406999999999972,2020-11-10 18:06:00,2020-11-10 18:54:00,0 days 00:54:00,-5111.716653247796,151.19583333333335,-363.1494260077866
11,11,0 days 00:44:00,5760.225000000006,14.83660092841042,-51.68260869565236,2020-11-20 20:16:00,2020-11-20 21:00:00,0 days 00:52:00,4037.673746591532,262.46029411764687,739.17336132467
12,12,0 days 01:50:00,25786.95,73.82861232888969,-95.13571428571426,2020-11-21 23:08:00,2020-11-22 00:58:00,0 days 04:44:00,2477.6531416069074,434.5355555555555,-1853.333700652558
13,13,0 days 00:08:00,2688.0999999999985,7.24894745180525,-561.7799999999988,2020-11-28 18:38:00,2020-11-28 18:46:00,0 days 00:56:00,-2688.2856614648663,-136.4499999999995,-1482.567656604087
14,14,0 days 00:18:00,3527.5999999999985,13.808274944220457,-139.9875,2020-11-30 17:10:00,2020-11-30 17:28:00,0 days 00:24:00,-205.8096284993117,358.10000000000036,-370.69719295425716
15,15,0 days 00:50:00,3775.625,16.661536645451548,-3.7798076923076085,2020-12-01 20:38:00,2020-12-01 21:28:00,0 days 00:48:00,-13001.817844318946,728.1450000000004,6597.184380523078
16,16,0 days 00:14:00,9450.715384615381,33.14922091062394,1203.064423076923,2020-12-01 21:22:00,2020-12-01 21:36:00,0 days 00:14:00,-16955.109442751098,1203.064423076923,9748.864488964038
17,17,0 days 00:12:00,1394.625,4.358962538004661,-166.778571428571,2021-01-02 19:38:00,2021-01-02 19:50:00,0 days 00:58:00,-750.2129507624741,-141.17083333333298,-1026.9774087867804
18,18,0 days 00:38:00,8757.825,30.431145464685372,-95.2887499999999,2021-01-05 17:54:00,2021-01-05 18:32:00,0 days 00:58:00,-1988.2358349561273,445.6484375,-866.3418758882774
19,19,0 days 01:18:00,6801.5,21.352558955776203,-138.56499999999997,2021-01-07 20:40:00,2021-01-07 21:58:00,0 days 02:36:00,-1841.9366911330326,69.33055555555559,-1636.9074953126399
20,20,0 days 00:26:00,5717.4000000000015,15.553001502961735,-89.77857142857154,2021-01-09 17:00:00,2021-01-09 17:26:00,0 days 00:46:00,874.5692381533809,342.5375000000001,-449.6512001580287
21,21,0 days 00:34:00,6937.225000000002,24.154872383227243,-96.24027777777782,2021-01-20 18:46:00,2021-01-20 19:20:00,0 days 00:54:00,-1701.0673860311615,361.4133333333331,-838.9191546818555
22,22,0 days 00:08:00,1528.449999999997,4.131937052468658,-354.8199999999997,2021-01-29 18:48:00,2021-01-29 18:56:00,0 days 00:48:00,-3069.0926777954264,-104.64999999999418,-654.3686990975802
23,23,0 days 00:12:00,1489.3499999999985,4.021382028592626,-194.0392857142859,2021-01-29 22:10:00,2021-01-29 22:22:00,1 days 20:10:00,6483.680929778944,14.0,-298.07581283101604
24,24,0 days 00:12:00,2189.6000000000004,13.785678533540263,-62.554395604395594,2021-02-08 12:04:00,2021-02-08 12:16:00,0 days 00:28:00,-668.9206144999835,-18.466666666666544,-306.82499332003454
25,25,0 days 00:36:00,23593.275,56.30332516980828,-197.81578947368422,2021-02-12 18:24:00,2021-02-12 19:00:00,0 days 03:10:00,614.5145756182446,445.6764705882351,-1551.2051938021668
26,26,0 days 01:34:00,15846.775,100.0,-53.6734374999999,2021-02-13 06:40:00,2021-02-13 08:14:00,0 days 02:00:00,2152.3300235558127,590.5084541062803,-1182.985645101363
27,27,0 days 03:40:00,32001.225000000002,78.76565407448977,-290.96711711711725,2021-02-25 20:36:00,2021-02-26 00:16:00,26 days 18:26:00,15117.519786654435,1.8850000000002183,-14378.71778028475
28,28,0 days 00:42:00,14366.55,59.196819003569345,-350.2136363636364,2021-03-09 02:20:00,2021-03-09 03:02:00,1 days 00:04:00,3400.8742051777845,398.9183333333333,-3098.347632107487
29,29,0 days 00:28:00,18752.75,77.5644207304463,-143.12666666666652,2021-03-25 15:00:00,2021-03-25 15:28:00,0 days 00:46:00,-5879.297224299798,1211.1038461538462,-1418.8254210411985
30,30,0 days 00:08:00,2195.175000000003,6.0701985308248965,-467.9949999999997,2021-03-26 22:58:00,2021-03-26 23:06:00,0 days 14:22:00,6562.320148477491,-114.22499999999854,-1518.0982004769244
31,31,0 days 00:56:00,10152.175000000003,30.927543759572345,-159.94224137931025,2021-03-31 21:52:00,2021-03-31 22:48:00,0 days 21:58:00,2887.26395522218,227.37800000000004,-966.3394248794327
32,32,0 days 01:02:00,25733.325,62.49441435752969,-116.79218749999995,2021-04-01 17:56:00,2021-04-01 18:58:00,0 days 01:22:00,-2465.808857682532,1196.1930555555557,-1628.1199255819643
33,33,0 days 00:10:00,3192.375,10.368001325077586,-111.64166666666704,2021-04-23 22:26:00,2021-04-23 22:36:00,0 days 03:02:00,1683.9368136091305,289.8625000000002,-580.5210967381174
34,34,0 days 00:06:00,2628.93611111111,12.003822281174848,122.01249999999982,2021-04-29 13:40:00,2021-04-29 13:46:00,0 days 00:06:00,-819.3791819789199,147.27500000000023,56.89460917838318
35,35,0 days 00:48:00,9486.13782051282,26.59452588614424,-72.49899999999994,2021-05-07 17:40:00,2021-05-07 18:28:00,0 days 01:12:00,-3124.6767712834007,356.87142857142874,-874.5621108602254
36,36,0 days 00:06:00,4228.225,33.24337605157639,-955.2249999999999,2021-05-10 10:50:00,2021-05-10 10:56:00,0 days 06:16:00,813.9571486503173,-158.3000000000011,-3992.417671635647
37,37,0 days 00:18:00,5816.75,72.12337259764413,-67.0375,2021-05-10 11:18:00,2021-05-10 11:36:00,0 days 00:24:00,-10271.465542919372,703.1428571428571,-230.19927445286567
