,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime,pre_slope,recovery_slope,pre_post_difference
0,0,0 days 00:06:00,4969.925,92.37349565540634,1342.78125,2020-08-04 12:18:00,2020-08-04 12:24:00,0 days 00:06:00,-37447.01986133579,1342.78125,8396.235552899765
1,1,0 days 00:06:00,2683.7000000000007,9.697488723692757,-47.91874999999982,2020-08-08 02:10:00,2020-08-08 02:16:00,0 days 00:30:00,-274.6672799455364,-77.86666666666618,215.40359601087567
2,2,0 days 01:06:00,12917.7,99.98045699668543,-62.94705882352938,2020-08-13 10:06:00,2020-08-13 11:12:00,0 days 01:26:00,438.37207695298,500.29090909090905,-588.3629028740143
3,3,0 days 01:14:00,8221.958333333334,61.17490590956157,-38.3125,2020-08-19 06:06:00,2020-08-19 07:20:00,0 days 03:14:00,383.2727594395592,260.2632192460318,-280.7653628227871
4,4,0 days 00:28:00,3746.25,28.477115687213512,-41.59499999999995,2020-08-23 09:28:00,2020-08-23 09:56:00,0 days 00:36:00,-2465.3796871333107,234.81875000000005,2.0034872775115957
5,5,0 days 00:26:00,19581.6,99.5980544870776,-163.94107142857152,2020-08-23 15:04:00,2020-08-23 15:30:00,0 days 00:44:00,-4418.7424336714375,1736.0275000000001,-718.2174923788957
6,6,0 days 02:30:00,12821.675000000001,99.99688038012569,-22.244407894736863,2020-08-24 10:12:00,2020-08-24 12:42:00,0 days 04:40:00,4187.332490222951,247.46611111111108,-2032.3094048108019
7,7,0 days 00:06:00,1705.875,6.846002811240552,-38.36250000000018,2020-08-24 18:42:00,2020-08-24 18:48:00,0 days 00:28:00,1367.3426756145818,-64.75,64.86309609641461
8,8,0 days 00:08:00,2307.7000000000007,19.036149050646628,-483.31500000000017,2020-08-28 06:10:00,2020-08-28 06:18:00,0 days 00:30:00,-2024.2533286550697,-221.39435483871057,-359.34371815169357
9,9,0 days 00:06:00,6870.425,58.33950728668018,39.88124999999991,2020-09-03 12:32:00,2020-09-03 12:38:00,0 days 00:08:00,-1227.535551620023,17.650000000000244,-463.3969994052663
10,10,0 days 00:18:00,10897.350000000002,54.07973241391974,-441.50714285714275,2020-09-03 17:32:00,2020-09-03 17:50:00,0 days 01:22:00,1136.4476160683935,-204.8375000000001,-1594.9101006157148
11,11,0 days 00:06:00,1676.4000000000015,8.607539041741234,164.96875,2020-09-03 18:06:00,2020-09-03 18:12:00,0 days 00:06:00,-3371.212553076737,164.45000000000073,1057.122464418472
12,12,0 days 00:08:00,9699.3,48.87885484200155,-58.01999999999971,2020-09-03 18:24:00,2020-09-03 18:32:00,0 days 00:10:00,-2196.334373094628,-94.54374999999982,1069.9625220720918
13,13,0 days 00:06:00,1674.574999999999,10.104860766444546,-43.59375,2020-10-14 00:20:00,2020-10-14 00:26:00,0 days 07:06:00,910.3486253572983,-65.61666666666618,-192.91046899034228
14,14,0 days 02:08:00,11354.650000000001,99.98855225674646,-23.055769230769204,2020-10-16 13:34:00,2020-10-16 15:42:00,0 days 02:36:00,-1229.9486709597556,533.0683333333333,-1489.5160358844832
15,15,0 days 01:50:00,8501.2,96.46915975874767,-21.676968864468904,2020-10-26 09:26:00,2020-10-26 11:16:00,0 days 02:08:00,1939.1800572694683,357.4075,-182.84932211943539
16,16,0 days 00:08:00,1567.4000000000015,7.267542614048011,-111.9199999999997,2020-10-31 19:22:00,2020-10-31 19:30:00,0 days 09:16:00,1459.185197576884,-132.375,-949.6540568687079
17,17,0 days 00:06:00,2406.2999999999993,11.656001898829217,-74.42804487179455,2020-10-31 19:54:00,2020-10-31 20:00:00,0 days 07:38:00,-1475.804548632218,-82.17499999999927,-684.9344462839128
18,18,0 days 00:04:00,1205.75,8.729459164484155,-230.64999999999964,2020-10-31 23:00:00,2020-10-31 23:04:00,0 days 00:48:00,-10624.032006259462,-71.92499999999927,-3433.0766493011256
19,19,0 days 00:32:00,13782.527564102564,99.78354680009168,-82.55735294117655,2020-10-31 23:00:00,2020-10-31 23:32:00,0 days 00:44:00,-10624.032006259462,1613.05,-1081.3191801438038
20,20,0 days 00:20:00,1972.3,99.8418061936039,-193.9090909090909,2020-11-02 09:50:00,2020-11-02 10:10:00,0 days 02:14:00,-10462.720213162494,-0.2333333333333334,-2812.2470013547695
21,21,0 days 00:58:00,2559.7999999999993,17.042439656062015,-13.674166666666679,2020-11-10 18:00:00,2020-11-10 18:58:00,0 days 01:26:00,-4604.439458775197,139.22666666666663,-524.4656345190417
22,22,0 days 00:54:00,8664.575,99.26222723744769,-45.515178571428514,2020-11-11 12:08:00,2020-11-11 13:02:00,0 days 01:20:00,-1991.8290603502319,570.6,-743.6945000636463
23,23,0 days 00:08:00,1357.375,99.67140287109447,54.26230769230767,2020-11-12 10:20:00,2020-11-12 10:28:00,0 days 00:08:00,-11897.97225216152,311.8901709401709,1339.9979137703428
24,24,0 days 00:08:00,3021.274999999998,10.682640256558031,-582.9450000000004,2020-11-17 23:44:00,2020-11-17 23:52:00,0 days 01:06:00,4604.456216838244,-747.34375,-1205.7369580630075
25,25,0 days 00:18:00,10319.525,91.54459788825633,-154.7375,2020-11-18 08:06:00,2020-11-18 08:24:00,0 days 01:04:00,-2444.4306498878504,602.5718750000001,-363.23076805458743
26,26,0 days 00:08:00,3115.675000000003,8.020142542271998,-351.7099999999991,2020-11-22 04:38:00,2020-11-22 04:46:00,0 days 05:04:00,1774.0086119976045,-405.1749999999993,-874.2112390648347
27,27,0 days 00:06:00,1897.125,4.513761664342923,-483.43124999999964,2020-11-22 22:46:00,2020-11-22 22:52:00,0 days 01:20:00,-6116.426120387559,-97.47499999999854,-786.4048595390045
28,28,0 days 00:08:00,3013.3499999999985,7.640998463356368,-205.8050000000003,2020-11-22 23:12:00,2020-11-22 23:20:00,0 days 00:42:00,-7978.720426376785,-249.73749999999927,-1378.1082603796776
29,29,0 days 00:08:00,3309.0,7.618174953264145,-143.9449999999997,2020-11-23 21:28:00,2020-11-23 21:36:00,0 days 00:18:00,5485.45201089759,-186.39374999999927,725.0821489380207
30,30,0 days 00:08:00,3875.8499999999985,10.198806803941011,-210.11000000000058,2020-11-24 23:56:00,2020-11-25 00:04:00,0 days 00:40:00,3958.752508553459,-273.00625000000036,-200.2570847909344
31,31,0 days 00:08:00,5200.5999999999985,11.635278344714635,-348.22000000000116,2020-11-25 20:52:00,2020-11-25 21:00:00,0 days 03:06:00,2177.618052807722,-437.5,-1061.036507543942
32,32,0 days 00:06:00,2281.975000000002,10.125168329439859,-44.899999999999636,2020-11-29 08:06:00,2020-11-29 08:12:00,0 days 00:06:00,-2709.3320399173044,-45.083333333333336,406.13792550145445
33,33,0 days 01:10:00,5523.5,20.58501544295423,41.25624999999996,2020-12-01 20:18:00,2020-12-01 21:28:00,0 days 01:08:00,-17240.689193763676,785.5071428571428,8969.987178978614
34,34,0 days 00:14:00,13306.457051282054,38.14456330710988,1684.8852564102567,2020-12-01 21:22:00,2020-12-01 21:36:00,0 days 00:14:00,-22111.12779602681,1684.8852564102567,13032.952251619967
35,35,0 days 00:20:00,17039.05,44.123326913428386,1564.6977272727272,2020-12-01 21:22:00,2020-12-01 21:42:00,0 days 00:20:00,-22111.12779602681,1564.6977272727272,13412.516399061744
36,36,0 days 00:04:00,2845.379487179487,99.93605953847594,947.8499999999999,2020-12-02 12:06:00,2020-12-02 12:10:00,0 days 00:04:00,-20659.61704454248,947.8499999999999,3009.450662280652
37,37,0 days 00:06:00,2059.1749999999993,8.227822179867914,66.47499999999945,2020-12-02 18:32:00,2020-12-02 18:38:00,0 days 00:06:00,1023.0138912861576,73.89166666666642,103.854174746804
38,38,0 days 00:06:00,7054.950000000001,27.530303547649126,-64.0625,2020-12-02 19:06:00,2020-12-02 19:12:00,0 days 00:08:00,2548.378796496848,-19.775000000000244,221.75844519257691
39,39,0 days 00:08:00,3833.7750000000015,15.67355474107886,-395.04499999999973,2020-12-02 23:12:00,2020-12-02 23:20:00,0 days 00:56:00,-7984.833567041158,-142.30000000000018,-3871.398727088127
40,40,0 days 00:08:00,5604.8499999999985,22.99649709458869,-1133.36,2020-12-02 23:26:00,2020-12-02 23:34:00,0 days 00:40:00,-11242.683702371252,-1261.0499999999993,-2788.8753169774063
41,41,0 days 00:06:00,2294.574999999997,7.231084611481748,-76.58125000000018,2020-12-04 00:06:00,2020-12-04 00:12:00,1 days 03:38:00,7421.380238773067,-110.72499999999975,-981.9593395461136
42,42,0 days 00:06:00,3304.100000000002,10.28164762773099,-51.381250000000364,2020-12-09 00:28:00,2020-12-09 00:34:00,0 days 00:28:00,3724.788412221689,-91.63333333333382,-389.63628485559
43,43,0 days 00:06:00,2914.2000000000044,7.67603254846415,-46.256250000000364,2020-12-11 21:10:00,2020-12-11 21:16:00,0 days 00:18:00,4413.210783025905,-61.98333333333479,392.7705430326414
44,44,0 days 00:06:00,3235.0,8.459108642672604,-89.69999999999891,2020-12-13 19:02:00,2020-12-13 19:08:00,18 days 11:52:00,7645.012764279511,-119.41666666666667,-388.480839038411
45,45,0 days 00:06:00,3825.9044871794868,12.123511714420118,114.375,2020-12-18 20:16:00,2020-12-18 20:22:00,0 days 00:06:00,-5067.694273407596,260.75,512.2067915681896
46,46,0 days 00:28:00,8459.224999999999,34.73786116723336,-147.94499999999996,2021-01-04 15:18:00,2021-01-04 15:46:00,0 days 01:12:00,2134.9688347733463,-70.1749999999998,-1292.2310849098785
