,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime,pre_slope,recovery_slope,pre_post_difference
0,0,0 days 02:06:00,22129.721153846156,27.070367823222213,-112.86484375000009,2020-08-11 16:32:00,2020-08-11 18:38:00,0 days 03:32:00,195.8567834077911,932.9042467948716,-14055.513532980503
1,1,0 days 00:18:00,7.07499999999709,0.009434066045784562,-0.7649999999994179,2020-08-11 18:42:00,2020-08-11 19:00:00,0 days 00:50:00,-39818.814959926734,-4.1749999999883585,-501.9587677966392
2,2,0 days 00:04:00,15938.074999999997,17.33613457032274,5545.024999999999,2020-08-11 19:34:00,2020-08-11 19:38:00,0 days 00:04:00,-39467.74876881467,5545.024999999999,11762.038424285409
3,3,0 days 01:58:00,63870.85,65.21726033971338,-185.11374999999995,2020-08-12 20:02:00,2020-08-12 22:00:00,0 days 01:54:00,10031.956223503665,931.5853773584904,436.8859946789112
4,4,0 days 00:16:00,14957.550000000003,23.355799015101397,-214.4194444444446,2020-08-18 12:02:00,2020-08-18 12:18:00,0 days 00:58:00,-2393.172079739619,-241.25,-2005.6624749291814
5,5,0 days 00:28:00,15585.850000000006,16.024237071749667,-415.7950000000002,2020-08-18 18:28:00,2020-08-18 18:56:00,0 days 01:10:00,-1300.3239161239435,784.7146853146853,-4469.1595415540705
6,6,0 days 01:40:00,30074.750000000004,68.04080446052753,-71.90000000000003,2020-08-21 07:44:00,2020-08-21 09:24:00,0 days 01:54:00,-11919.773476261285,3292.86875,-5672.113939647192
7,7,0 days 00:38:00,25720.314743589755,28.098662837476567,-217.39500000000044,2020-08-24 15:44:00,2020-08-24 16:22:00,0 days 03:14:00,8049.9541157098865,771.6888888888885,-4260.071882374408
8,8,0 days 00:04:00,8013.774999999994,10.51758979788768,3459.5382478632478,2020-08-24 15:50:00,2020-08-24 15:54:00,0 days 00:04:00,-41590.05738711421,3459.5382478632478,-1621.2520997930278
9,9,0 days 01:08:00,45408.34999999999,45.635030605776535,-247.75285714285732,2020-08-24 19:40:00,2020-08-24 20:48:00,0 days 14:08:00,5629.232117214003,1108.8346774193549,-3804.500971339267
10,10,0 days 00:06:00,15774.328030303033,27.647570096241353,-3886.2382575757583,2020-08-26 09:44:00,2020-08-26 09:50:00,0 days 06:02:00,3511.424724560029,-3697.501515151511,-18141.779397603364
11,11,0 days 01:02:00,52749.343181818185,92.453457310409,-244.66640625000002,2020-08-26 09:44:00,2020-08-26 10:46:00,0 days 04:48:00,3511.424724560029,2157.5337719298245,-6341.795508733264
12,12,0 days 00:40:00,17353.47499999999,17.859611937403002,-132.60000000000028,2020-08-28 16:58:00,2020-08-28 17:38:00,0 days 02:16:00,-2730.404455049327,713.8885338345863,-4014.417204687183
13,13,0 days 00:18:00,26456.925000000003,36.92039597052026,-1497.2075000000004,2020-08-30 10:00:00,2020-08-30 10:18:00,1 days 00:04:00,14502.804160800306,-534.6968750000005,-10267.356782485454
14,14,0 days 00:26:00,11993.575000000012,14.637561369577057,-99.05178571428509,2020-09-01 14:36:00,2020-09-01 15:02:00,0 days 06:36:00,-466.071207333498,323.0270833333343,-2513.851865149359
15,15,0 days 00:28:00,26619.083333333336,37.02803395976204,-240.78666666666686,2020-09-05 11:08:00,2020-09-05 11:36:00,0 days 21:04:00,13727.703629411059,-258.63214285714326,-3904.8770586816395
16,16,0 days 00:40:00,29528.27500000001,28.39935109510516,-449.6773809523812,2020-09-07 18:48:00,2020-09-07 19:28:00,12 days 04:28:00,34711.22061013302,734.8569444444446,-6746.2494710450765
17,17,0 days 00:06:00,8578.199999999997,10.485175581037893,-2302.631250000002,2020-09-08 18:20:00,2020-09-08 18:26:00,0 days 00:32:00,-28169.903294732943,-1089.9000000000087,-6983.122631710372
18,18,0 days 00:36:00,9670.299999999988,11.820054722588736,-434.22105263157954,2020-09-08 18:20:00,2020-09-08 18:56:00,0 days 00:32:00,-28169.903294732943,199.27249999999913,285.954058072577
19,19,0 days 00:24:00,8258.724999999991,9.318801581845605,-195.29807692307693,2020-09-17 18:06:00,2020-09-17 18:30:00,0 days 01:04:00,-4692.93545696625,-174.10833333333358,-2463.359752470213
20,20,0 days 00:54:00,67491.0,100.0,-454.18411654135343,2020-09-20 23:06:00,2020-09-21 00:00:00,0 days 01:12:00,-3188.689777738286,2245.502272727273,-6345.8866371557715
21,21,0 days 00:26:00,35249.34102564103,60.29585103280094,-386.80535714285725,2020-09-22 13:12:00,2020-09-22 13:38:00,0 days 01:30:00,-4501.466881316797,2320.949025974026,-5387.632948528872
