,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime,pre_slope,recovery_slope,pre_post_difference
0,0,0 days 00:10:00,2445.854399935325,27.890832791669638,-426.98619216196056,2020-08-07 02:54:00,2020-08-07 03:04:00,0 days 06:56:00,1560.6732202606295,-36.962165002627444,-1817.2849749569361
1,1,0 days 00:06:00,931.3684210526317,17.20915305993445,-242.395032051282,2020-08-07 11:00:00,2020-08-07 11:06:00,0 days 01:20:00,3420.3435487902943,-301.7525865946918,-420.11527516969215
2,2,0 days 00:42:00,1608.7714285714283,24.788138391304543,-8.665501165501155,2020-08-07 14:00:00,2020-08-07 14:42:00,1 days 03:20:00,3581.011739799488,-9.107866736438154,-378.9596233798442
3,3,0 days 00:44:00,1853.4210526315792,24.650697205577643,-12.864247943595768,2020-08-07 16:00:00,2020-08-07 16:44:00,0 days 11:00:00,2649.2290379604738,73.3634024577573,-707.9201259479692
4,4,0 days 00:12:00,7590.056561085973,99.1695581717214,-1116.2880252100842,2020-08-07 17:12:00,2020-08-07 17:24:00,0 days 02:48:00,770.7568275114768,-88.29117647058823,-5317.0164308193525
5,5,0 days 00:04:00,1491.0363247863247,78.7423210424876,630.9785103785104,2020-08-07 17:44:00,2020-08-07 17:48:00,0 days 00:04:00,-16745.60169907611,630.9785103785104,1432.0306221207625
6,6,0 days 00:48:00,3031.1675675675688,33.70747614396275,-37.062222222222225,2020-08-08 00:00:00,2020-08-08 00:48:00,0 days 02:10:00,535.6376816112198,85.67087646652864,-572.82071832897
7,7,0 days 00:20:00,1967.9643962848295,25.4684999587313,-151.87332842596004,2020-08-08 05:00:00,2020-08-08 05:20:00,0 days 12:20:00,3317.0615874907785,-155.00013495276653,-667.3058293760223
8,8,0 days 00:54:00,7252.2129629629635,72.1328792405427,-41.935897435897395,2020-08-11 21:00:00,2020-08-11 21:54:00,0 days 18:02:00,1369.3133362085937,166.31065088757398,-1048.2474328456497
9,9,0 days 01:14:00,7537.1,68.49729631480892,-42.57617728531855,2020-08-12 20:08:00,2020-08-12 21:22:00,0 days 00:54:00,3331.651813352916,170.8890608875129,170.77153765015953
10,10,0 days 01:56:00,4612.088235294118,91.5262448272038,-20.518462469733667,2020-08-21 05:40:00,2020-08-21 07:36:00,0 days 05:16:00,52.59340505666387,36.387946428571425,-968.9880826907132
11,11,0 days 01:22:00,1889.975,77.11114964452922,-5.877380952380972,2020-08-21 08:02:00,2020-08-21 09:24:00,0 days 01:28:00,-3615.5483390168424,205.88437499999998,-276.9198391865955
12,12,0 days 01:02:00,1320.7194444444444,33.7497222772344,-4.809375000000003,2020-09-02 10:04:00,2020-09-02 11:06:00,0 days 02:34:00,428.14576513066515,-6.61854838709678,-82.37337806942394
13,13,0 days 00:28:00,3888.254668930391,67.72596643779673,-69.11576068376066,2020-09-02 14:02:00,2020-09-02 14:30:00,0 days 00:48:00,165.3540323643557,49.58284023668637,-601.8828161058493
14,14,0 days 01:00:00,3212.2557354925775,37.710135871928706,-19.212138130686483,2020-09-02 18:00:00,2020-09-02 19:00:00,0 days 07:26:00,1082.2012151691506,60.76387652947722,-1573.3652970678295
15,15,0 days 01:00:00,2404.2698717948724,30.19121516416982,-24.674193548387084,2020-09-02 19:00:00,2020-09-02 20:00:00,0 days 01:16:00,-872.7230883945481,48.11274464119294,141.54149005109667
16,16,0 days 01:22:00,2743.9027777777774,37.875522904261075,-7.012745098039215,2020-09-03 14:14:00,2020-09-03 15:36:00,0 days 02:30:00,4089.4902616031445,38.975,-626.0647471352655
