,group,timespan,magnitude,drop,shape,startdate,enddate,recoverytime,pre_slope,recovery_slope,pre_post_difference
0,0,0 days 00:06:00,9586.0,8.32002499652826,-2374.0,2007-08-17 07:00:00,2007-08-17 07:06:00,0 days 01:04:00,-23770.53191946871,-805.0,-5187.027862829132
1,1,0 days 00:12:00,31161.0,18.437152391546164,-315.2857142857143,2007-08-18 02:20:00,2007-08-18 02:32:00,0 days 00:26:00,-30007.100628394153,3346.4,-1600.3404089472551
2,2,0 days 00:08:00,10998.0,8.912407516956904,-1515.4,2007-08-20 05:54:00,2007-08-20 06:02:00,0 days 00:26:00,-19800.431760374213,-1867.0,-514.305487831185
3,3,0 days 00:26:00,115681.0,68.47257983367368,-1165.357142857143,2007-08-20 15:58:00,2007-08-20 16:24:00,1 days 00:02:00,25752.340801986706,3672.818181818182,-7563.355281364311
4,4,0 days 00:12:00,81476.0,57.35807614327551,12683.42857142857,2007-08-20 16:06:00,2007-08-20 16:18:00,0 days 00:12:00,-180096.26290507516,12683.42857142857,-2233.2011340218837
5,5,0 days 00:06:00,15976.0,14.822374585973677,-118.75,2007-08-22 11:08:00,2007-08-22 11:14:00,0 days 00:12:00,-2002.7706612995098,9.666666666666666,-306.13294478044304
6,6,0 days 00:22:00,55174.0,51.25646814005555,-612.4166666666666,2007-08-24 10:42:00,2007-08-24 11:04:00,0 days 00:28:00,7944.52933124813,3459.0,1056.6126791857607
7,7,0 days 00:48:00,158622.0,84.98639120464628,-1078.6,2007-08-24 19:48:00,2007-08-24 20:36:00,0 days 01:06:00,-25062.841676767217,2863.3636363636365,-2609.420381992102
8,8,0 days 00:40:00,119967.0,92.75607719428466,-796.5238095238095,2007-08-28 14:30:00,2007-08-28 15:10:00,1 days 00:02:00,15342.228501174332,-861.7,-10417.909119419663
9,9,0 days 00:08:00,7111.0,8.448177541225107,-250.0,2007-08-30 07:24:00,2007-08-30 07:32:00,0 days 00:14:00,-18461.10769159285,-219.0,-309.63856470771043
10,10,0 days 00:06:00,9358.0,5.6566364834314555,-2572.0,2007-08-31 02:40:00,2007-08-31 02:46:00,1 days 02:10:00,23542.24353683544,-6524.0,-2604.0804446842412
11,11,0 days 00:16:00,9358.0,5.6566364834314555,-689.7777777777778,2007-08-31 02:40:00,2007-08-31 02:56:00,1 days 02:10:00,23542.24353683544,-407.3333333333333,-2693.0903972672913
12,12,1 days 06:06:00,2475.0295383999182,1.962513115211479,-2.740896498781751,2007-10-01 21:40:00,2007-10-03 03:46:00,1 days 10:04:00,-0.005031966146059281,-2.740896498784423,-0.010098170520089171
13,13,1 days 06:34:00,2513.4020893828565,2.0281135303211784,-2.740896498781744,2007-10-03 00:16:00,2007-10-04 06:50:00,1 days 10:26:00,-0.03276436219233247,-2.740896498784423,-0.06573508703044806
14,14,1 days 06:16:00,2488.734020893826,2.045485867678991,-2.7408964987817495,2007-10-04 03:44:00,2007-10-05 10:00:00,1 days 10:16:00,-0.23102007248966194,-2.740896498769871,-0.3795915333499732
15,15,1 days 06:06:00,2475.0295383999182,2.0718407282013658,-2.740896498781751,2007-10-05 06:36:00,2007-10-06 12:42:00,1 days 09:52:00,-1.2890137444650838,-2.740896498784423,-2.0992046600144967
16,16,1 days 05:52:00,2455.843262908442,2.0949052220927626,-2.740896498781746,2007-10-06 09:44:00,2007-10-07 15:36:00,1 days 10:22:00,-7.577688785608668,-2.740896498784423,-11.293809912483544
17,17,1 days 05:54:00,2458.584159407241,2.1378301595156017,-2.740896498781749,2007-10-07 12:48:00,2007-10-08 18:42:00,1 days 09:36:00,-39.738536329457695,-2.740896498784423,-67.65528795831239
18,18,1 days 04:54:00,2376.3572644437663,2.1058291427656,-2.7408964987817406,2007-10-08 15:02:00,2007-10-09 19:56:00,1 days 10:32:00,-223.51748786182242,-2.740896498769871,-302.7598685687051
