,group,timespan,magnitude,drop,shape,startdate,enddate
0,0,0 days 00:26:00,9921.200000000004,14.169200783067865,-708.3357142857146,2020-08-11 17:02:00,2020-08-11 17:28:00
1,1,0 days 00:04:00,9931.375,14.189518141101871,3327.3666666666686,2020-08-11 18:22:00,2020-08-11 18:26:00
2,2,0 days 00:06:00,15938.074999999997,17.33613457032274,4117.168750000001,2020-08-11 19:34:00,2020-08-11 19:40:00
3,3,0 days 01:20:00,63870.85,65.21726033971338,-530.7487804878048,2020-08-12 20:02:00,2020-08-12 21:22:00
4,4,0 days 00:10:00,14957.550000000003,23.355799015101397,-787.8583333333336,2020-08-18 12:02:00,2020-08-18 12:12:00
5,5,0 days 00:28:00,19693.75,19.427184741367512,-438.77166666666744,2020-08-18 18:26:00,2020-08-18 18:54:00
6,6,0 days 01:22:00,29639.675000000003,67.05649526425277,-708.7178571428572,2020-08-21 07:44:00,2020-08-21 09:06:00
7,7,0 days 00:06:00,16372.725000000002,53.682781662692506,4045.3375000000005,2020-08-21 09:10:00,2020-08-21 09:16:00
8,8,0 days 00:24:00,25720.314743589755,28.098662837476567,-680.6923076923077,2020-08-24 15:44:00,2020-08-24 16:08:00
9,9,0 days 00:26:00,45408.34999999999,45.635030605776535,-1084.9339285714284,2020-08-24 19:40:00,2020-08-24 20:06:00
10,10,0 days 00:44:00,52749.343181818185,92.453457310409,-779.2565217391303,2020-08-26 09:44:00,2020-08-26 10:28:00
11,11,0 days 00:24:00,17353.47499999999,17.859611937403002,-454.8173076923077,2020-08-28 16:58:00,2020-08-28 17:22:00
12,12,0 days 00:18:00,26456.925000000003,36.92039597052026,-1497.2075000000004,2020-08-30 10:00:00,2020-08-30 10:18:00
13,13,0 days 00:14:00,11993.575000000012,14.637561369577057,-481.94687499999964,2020-09-01 14:36:00,2020-09-01 14:50:00
14,14,0 days 00:16:00,26619.083333333336,37.02803395976204,-937.9249999999997,2020-09-05 11:08:00,2020-09-05 11:24:00
15,15,0 days 00:26:00,29528.27500000001,28.39935109510516,-759.1428571428571,2020-09-07 18:48:00,2020-09-07 19:14:00
16,16,0 days 00:06:00,8578.199999999997,10.485175581037893,-2302.631250000002,2020-09-08 18:20:00,2020-09-08 18:26:00
17,17,0 days 00:16:00,8258.724999999991,9.318801581845605,-361.2277777777765,2020-09-17 18:06:00,2020-09-17 18:22:00
18,18,0 days 00:38:00,67491.0,100.0,-1282.3890131578949,2020-09-20 23:06:00,2020-09-20 23:44:00
19,19,0 days 00:18:00,35249.34102564103,60.29585103280094,-1090.89,2020-09-22 13:12:00,2020-09-22 13:30:00
20,20,0 days 01:02:00,19138.025,28.91278812851958,-199.76093749999995,2020-10-01 21:16:00,2020-10-01 22:18:00
21,21,0 days 00:24:00,14703.849999999999,19.6393844197614,-415.42884615384594,2020-10-13 16:32:00,2020-10-13 16:56:00
22,22,0 days 00:12:00,16090.322537112006,29.876798006083334,-1989.3714285714284,2020-10-17 06:14:00,2020-10-17 06:26:00
23,23,0 days 00:14:00,13304.050000000003,16.15586759135911,-698.6500000000015,2020-11-01 14:30:00,2020-11-01 14:44:00
24,24,0 days 00:40:00,32278.325000000004,36.71288335917568,-675.704761904762,2020-11-09 18:28:00,2020-11-09 19:08:00
25,25,0 days 00:22:00,25351.475000000006,32.4631641356049,-501.1208333333331,2020-11-09 19:10:00,2020-11-09 19:32:00
26,26,0 days 00:06:00,6070.178205128206,7.129297501882931,-1452.2687499999993,2020-11-21 03:20:00,2020-11-21 03:26:00
27,27,0 days 00:16:00,59625.025,53.413896834404895,-2198.516666666666,2020-11-27 18:56:00,2020-11-27 19:12:00
28,28,0 days 00:20:00,35557.12500000001,38.31025302326384,-1025.1772727272726,2020-11-28 00:12:00,2020-11-28 00:32:00
29,29,0 days 00:08:00,4965.475000000006,5.181326470080322,-276.775,2020-12-01 19:38:00,2020-12-01 19:46:00
30,30,0 days 00:46:00,24772.899999999998,46.33224202536286,-291.1916666666666,2020-12-04 12:24:00,2020-12-04 13:10:00
31,31,0 days 00:10:00,4797.049999999988,5.214346313989054,-163.27916666666715,2020-12-16 15:58:00,2020-12-16 16:08:00
32,32,0 days 00:44:00,45670.675,41.778438957566976,-796.75,2020-12-17 19:34:00,2020-12-17 20:18:00
33,33,0 days 00:16:00,9989.674999999996,16.57994002646403,-387.54999999999967,2020-12-18 09:28:00,2020-12-18 09:44:00
34,34,0 days 00:14:00,26255.649999999994,24.21729259124149,-1483.8187500000004,2020-12-18 23:00:00,2020-12-18 23:14:00
35,35,0 days 00:16:00,18366.75,24.672373302508674,-658.9249999999997,2020-12-22 11:38:00,2020-12-22 11:54:00
36,36,0 days 00:12:00,16104.5,17.81011702456196,-769.4499999999991,2020-12-24 16:50:00,2020-12-24 17:02:00
37,37,0 days 00:10:00,12832.25,21.306924906258914,-704.6166666666662,2020-12-25 10:00:00,2020-12-25 10:10:00
38,38,0 days 00:10:00,11969.100000000006,17.4434466295328,-590.8666666666674,2020-12-27 10:20:00,2020-12-27 10:30:00
39,39,0 days 00:22:00,30056.175000000003,39.38868348587034,-895.6333333333326,2020-12-28 06:10:00,2020-12-28 06:32:00
40,40,0 days 00:30:00,10810.574999999997,12.608525522450378,-325.7218750000002,2020-12-29 05:18:00,2020-12-29 05:48:00
41,41,0 days 00:10:00,13928.75,24.679015550238177,-758.6624999999998,2021-01-07 08:24:00,2021-01-07 08:34:00
42,42,0 days 00:10:00,10434.399999999994,13.49748128466932,-402.34583333333285,2021-01-07 12:18:00,2021-01-07 12:28:00
43,43,0 days 00:16:00,42662.55,30.36466919631141,-2015.755555555556,2021-01-15 18:52:00,2021-01-15 19:08:00
44,44,0 days 00:16:00,42662.55,30.36466919631141,-2015.755555555556,2021-01-15 18:52:00,2021-01-15 19:08:00
45,45,0 days 00:24:00,68040.32499999998,42.874381466433576,-2034.4903846153845,2021-01-15 21:46:00,2021-01-15 22:10:00
46,46,0 days 00:08:00,35948.84999999999,28.394393764249486,6960.525,2021-01-15 21:54:00,2021-01-15 22:02:00
47,47,0 days 00:08:00,14166.399999999994,9.910071404574438,-2962.3700000000013,2021-01-15 22:48:00,2021-01-15 22:56:00
48,48,0 days 00:16:00,10919.159459459457,18.302097460236737,-391.94722222222157,2021-01-21 06:50:00,2021-01-21 07:06:00
49,49,0 days 00:16:00,19869.403846153844,26.66956969752036,-743.5944444444451,2021-01-21 09:46:00,2021-01-21 10:02:00
50,50,0 days 00:10:00,9504.625,16.448477071380637,-535.7125000000002,2021-02-05 06:46:00,2021-02-05 06:56:00
51,51,0 days 00:14:00,9273.030303030304,7.598934396023651,-458.2312500000007,2021-02-14 01:04:00,2021-02-14 01:18:00
52,52,0 days 00:08:00,8278.024999999994,8.18909146667194,-1731.2899999999995,2021-02-19 03:12:00,2021-02-19 03:20:00
53,53,0 days 00:48:00,19435.475000000006,19.2266733276616,-767.1129999999998,2021-02-19 03:12:00,2021-02-19 04:00:00
54,54,0 days 00:06:00,5784.7777777777665,7.319775329869998,-1346.9625000000015,2021-02-25 04:00:00,2021-02-25 04:06:00
55,55,0 days 00:24:00,52754.7,48.72729187218054,-1392.315384615384,2021-03-08 22:10:00,2021-03-08 22:34:00
56,56,0 days 00:12:00,13933.999999999985,9.8030421511817,-1426.0250000000026,2021-03-10 19:46:00,2021-03-10 19:58:00
57,57,0 days 00:18:00,13095.200000000012,11.921501367037138,-605.4199999999997,2021-03-11 22:14:00,2021-03-11 22:32:00
58,58,0 days 00:14:00,73323.74372759854,53.04842817837914,-2977.9749999999976,2021-03-17 18:14:00,2021-03-17 18:28:00
59,59,0 days 00:14:00,59135.21621621621,58.78999185055755,-3511.684374999999,2021-03-17 22:50:00,2021-03-17 23:04:00
60,60,0 days 00:10:00,8509.341666666645,5.842344840473373,-443.2833333333304,2021-03-20 16:56:00,2021-03-20 17:06:00
61,61,0 days 00:06:00,7450.9010869565245,5.215122156081293,-208.34375,2021-03-20 17:06:00,2021-03-20 17:12:00
62,62,0 days 00:08:00,8296.375,6.0690424791824995,-486.32999999999885,2021-03-25 19:04:00,2021-03-25 19:12:00
63,63,0 days 00:08:00,8296.375,6.0690424791824995,-486.32999999999885,2021-03-25 19:04:00,2021-03-25 19:12:00
64,64,0 days 00:14:00,22711.949999999997,29.981129746687145,-995.1281250000011,2021-03-26 10:48:00,2021-03-26 11:02:00
65,65,0 days 00:14:00,27347.399999999994,27.112604842067682,-1137.0750000000007,2021-03-30 14:46:00,2021-03-30 15:00:00
66,66,0 days 00:16:00,13452.724999999991,14.839572045041379,-783.4722222222222,2021-04-01 02:14:00,2021-04-01 02:30:00
67,67,0 days 00:12:00,14138.224999999991,16.864935050217937,-700.6964285714286,2021-04-01 02:38:00,2021-04-01 02:50:00
68,68,0 days 00:08:00,14072.075000000004,23.264175187960305,-2921.65,2021-04-01 05:40:00,2021-04-01 05:48:00
69,69,0 days 00:06:00,8866.074999999997,15.965646957981122,-355.4250000000011,2021-04-01 06:16:00,2021-04-01 06:22:00
70,70,0 days 00:06:00,11847.424999999996,20.235033602153393,-2925.9124999999985,2021-04-01 06:38:00,2021-04-01 06:44:00
71,71,0 days 00:06:00,10722.099999999999,17.112489790576646,-624.5437500000007,2021-04-01 07:22:00,2021-04-01 07:28:00
72,72,0 days 00:22:00,8646.650000000001,15.06848360166498,-248.98958333333334,2021-04-07 05:28:00,2021-04-07 05:50:00
73,73,0 days 00:34:00,2609.1999999999825,1.9499100599127246,115.22499999999935,2021-04-15 17:58:00,2021-04-15 18:32:00
74,74,0 days 01:04:00,46614.07499999998,23.895993080456606,1414.2083333333333,2021-04-16 17:00:00,2021-04-16 18:04:00
75,75,0 days 01:40:00,67977.85,31.4080544940974,895.612309368192,2021-04-16 17:00:00,2021-04-16 18:40:00
76,76,0 days 00:42:00,76589.25,46.72383208721501,-3171.339772727273,2021-04-17 20:02:00,2021-04-17 20:44:00
77,77,0 days 00:08:00,7084.125,7.444648872090966,-1348.8649999999993,2021-04-17 20:44:00,2021-04-17 20:52:00
78,78,0 days 00:34:00,25923.90000000001,25.790229241839555,-608.866666666667,2021-04-18 03:56:00,2021-04-18 04:30:00
79,79,0 days 00:04:00,9622.824999999997,11.318846639954032,3473.850000000001,2021-04-18 04:02:00,2021-04-18 04:06:00
80,80,0 days 00:24:00,33662.100000000006,28.943138363387405,-1113.0673076923076,2021-04-20 20:34:00,2021-04-20 20:58:00
81,81,0 days 00:30:00,67841.925,53.002849681730204,-1613.003125000001,2021-04-21 19:08:00,2021-04-21 19:38:00
82,82,0 days 00:16:00,26288.915384615393,26.547859118167977,-987.0833333333334,2021-04-23 14:58:00,2021-04-23 15:14:00
83,83,0 days 00:20:00,42580.94999999998,27.62439702729712,-1308.1000000000006,2021-04-25 18:34:00,2021-04-25 18:54:00
84,84,0 days 00:08:00,16724.09999999999,14.844596009983917,-1114.1149999999993,2021-04-30 14:32:00,2021-04-30 14:40:00
85,85,0 days 00:12:00,14089.549999999996,22.30873488491396,-626.6678571428575,2021-05-04 08:10:00,2021-05-04 08:22:00
86,86,0 days 00:12:00,14089.549999999996,22.30873488491396,-626.6678571428575,2021-05-04 08:10:00,2021-05-04 08:22:00
87,87,0 days 00:14:00,28003.949999999997,21.695723214015942,-1090.421875,2021-05-07 17:06:00,2021-05-07 17:20:00
88,88,0 days 00:40:00,69931.375,48.975623848271695,-1180.9595238095235,2021-05-15 20:52:00,2021-05-15 21:32:00
89,89,0 days 00:06:00,11181.199999999997,8.196647102754056,-1341.643750000003,2021-05-16 16:28:00,2021-05-16 16:34:00
90,90,0 days 00:12:00,10524.449999999997,8.560616705706607,-424.942857142858,2021-05-17 16:18:00,2021-05-17 16:30:00
