,group,timespan,magnitude,drop,shape,startdate,enddate
0,0,0 days 00:10:00,2445.854399935325,27.890832791669638,-426.98619216196056,2020-08-07 02:54:00,2020-08-07 03:04:00
1,1,0 days 00:06:00,931.3684210526317,17.20915305993445,-242.395032051282,2020-08-07 11:00:00,2020-08-07 11:06:00
2,2,0 days 00:32:00,1608.7714285714283,24.788138391304543,-30.51432880844646,2020-08-07 14:00:00,2020-08-07 14:32:00
3,3,0 days 00:32:00,1853.4210526315792,24.650697205577643,-38.57233704292524,2020-08-07 16:00:00,2020-08-07 16:32:00
4,4,0 days 00:12:00,7590.056561085973,99.1695581717214,-1116.2880252100842,2020-08-07 17:12:00,2020-08-07 17:24:00
5,5,0 days 00:08:00,2403.9964285714286,99.97385989796449,479.21388888888885,2020-08-07 17:42:00,2020-08-07 17:50:00
6,6,0 days 00:36:00,3031.1675675675688,33.70747614396275,-59.53552631578948,2020-08-08 00:00:00,2020-08-08 00:36:00
7,7,0 days 00:20:00,1967.9643962848295,25.4684999587313,-151.87332842596004,2020-08-08 05:00:00,2020-08-08 05:20:00
8,8,0 days 00:24:00,717.0689393939392,12.663077774972763,-20.723076923076896,2020-08-10 09:26:00,2020-08-10 09:50:00
9,9,0 days 00:24:00,7252.2129629629635,72.1328792405427,-189.42169625246544,2020-08-11 21:00:00,2020-08-11 21:24:00
10,10,0 days 00:42:00,7537.1,68.49729631480892,-121.59611244019139,2020-08-12 20:08:00,2020-08-12 20:50:00
11,11,0 days 00:20:00,4612.088235294118,91.5262448272038,-346.08204736440035,2020-08-21 05:40:00,2020-08-21 06:00:00
12,12,0 days 00:18:00,1285.0588235294117,49.760830941642745,-82.78974358974361,2020-08-21 05:58:00,2020-08-21 06:16:00
13,13,0 days 00:46:00,1320.7194444444444,33.7497222772344,-15.882675438596493,2020-09-02 10:04:00,2020-09-02 10:50:00
14,14,0 days 00:22:00,4348.576774193548,70.1215963639897,-131.6791666666667,2020-09-02 14:00:00,2020-09-02 14:22:00
15,15,0 days 00:36:00,3212.2557354925775,37.710135871928706,-58.396761133603206,2020-09-02 18:00:00,2020-09-02 18:36:00
16,16,0 days 00:50:00,2404.2698717948724,30.19121516416982,-33.17596153846153,2020-09-02 19:00:00,2020-09-02 19:50:00
17,17,0 days 01:00:00,2743.9027777777774,37.875522904261075,-25.507590132827318,2020-09-03 14:14:00,2020-09-03 15:14:00
18,18,0 days 00:36:00,2470.7615384615387,38.573705188852024,-58.8842105263158,2020-09-04 02:50:00,2020-09-04 03:26:00
19,19,0 days 00:14:00,758.4977895667553,12.932081401497953,-43.19551282051282,2020-09-04 13:44:00,2020-09-04 13:58:00
20,20,0 days 01:38:00,7482.675,99.8099220680479,-49.11559251559253,2020-09-04 15:46:00,2020-09-04 17:24:00
21,21,0 days 00:24:00,2215.3592436974786,25.329867337254598,-54.357692307692346,2020-09-04 19:02:00,2020-09-04 19:26:00
22,22,0 days 00:10:00,1176.6589743589743,29.658495285244328,-183.3263157894737,2020-09-08 07:14:00,2020-09-08 07:24:00
23,23,0 days 00:08:00,1312.827365728901,16.14577689650926,-191.4,2020-09-08 17:42:00,2020-09-08 17:50:00
24,24,0 days 00:12:00,706.783090783091,25.773648150057525,-87.94642857142857,2020-09-09 08:44:00,2020-09-09 08:56:00
25,25,0 days 00:24:00,691.901470588235,24.216266573334423,-29.372267206477737,2020-09-10 08:00:00,2020-09-10 08:24:00
26,26,0 days 00:28:00,2505.2249999999995,41.03797924532937,-54.108162393162395,2020-09-10 15:50:00,2020-09-10 16:18:00
27,27,0 days 00:12:00,1096.2848232848232,26.358994353925638,-143.09523809523813,2020-09-23 07:14:00,2020-09-23 07:26:00
28,28,0 days 00:50:00,1685.3083333333334,25.174208003983324,-18.179149797570833,2020-09-23 14:14:00,2020-09-23 15:04:00
29,29,0 days 00:32:00,2591.4213362068967,38.60977212126817,-58.44690799396679,2020-09-23 16:00:00,2020-09-23 16:32:00
30,30,0 days 00:10:00,863.6376518218622,11.62871263380309,-117.98464912280708,2020-09-23 17:58:00,2020-09-23 18:08:00
31,31,0 days 00:06:00,1318.43125,37.88017274661735,-349.34038461538466,2020-09-25 06:00:00,2020-09-25 06:06:00
32,32,0 days 00:20:00,852.6485671191554,23.81307628570501,-30.369289044289044,2020-10-02 06:56:00,2020-10-02 07:16:00
33,33,0 days 00:52:00,1828.1324324324323,22.99412576572412,-16.946407946407952,2020-10-14 14:14:00,2020-10-14 15:06:00
34,34,0 days 00:06:00,1159.3419540229897,12.009446792879913,-255.79914529914504,2020-10-14 18:00:00,2020-10-14 18:06:00
35,35,0 days 00:14:00,737.7374517374519,9.077451506700939,-38.612499999999955,2020-10-15 16:00:00,2020-10-15 16:14:00
36,36,0 days 00:26:00,1853.2484848484855,19.671323326960348,-96.37857142857145,2020-10-15 21:00:00,2020-10-15 21:26:00
37,37,0 days 00:44:00,2953.3557692307686,67.40577096813129,-50.70652173913044,2020-10-16 06:00:00,2020-10-16 06:44:00
38,38,0 days 00:34:00,9380.026315789473,82.66870454208104,-188.90678836731473,2020-10-16 21:00:00,2020-10-16 21:34:00
39,39,0 days 00:44:00,1634.0295031055903,17.412070133753176,-27.16610925306581,2020-10-17 00:00:00,2020-10-17 00:44:00
40,40,0 days 00:08:00,815.5328947368421,16.635465355809004,-144.20499999999993,2020-10-19 06:02:00,2020-10-19 06:10:00
41,41,0 days 00:14:00,3353.8031674208146,69.51226374483832,-139.403125,2020-10-19 09:26:00,2020-10-19 09:40:00
42,42,0 days 00:22:00,8346.657894736842,79.3736157859833,-240.78030814215012,2020-10-19 17:52:00,2020-10-19 18:14:00
43,43,0 days 00:24:00,7287.839285714286,73.41339295832665,-193.58461538461535,2020-10-19 21:44:00,2020-10-19 22:08:00
44,44,0 days 00:08:00,2183.7639358607103,30.710213864853998,-445.94842819778313,2020-10-20 02:54:00,2020-10-20 03:02:00
45,45,0 days 00:10:00,1045.7055555555544,10.406785002446512,-48.05769230769238,2020-10-24 14:34:00,2020-10-24 14:44:00
46,46,0 days 00:10:00,6341.193452380952,73.75726965576449,-415.3290598290599,2020-11-02 22:04:00,2020-11-02 22:14:00
47,47,0 days 00:06:00,1585.7364285714284,23.1703240303694,-429.2673308270678,2020-11-03 04:00:00,2020-11-03 04:06:00
48,48,0 days 02:02:00,6842.825,99.98538828798223,-43.87270797962648,2020-11-03 04:00:00,2020-11-03 06:02:00
49,49,0 days 00:32:00,9022.671328671328,75.96562758506997,-180.74539969834083,2020-11-09 18:32:00,2020-11-09 19:04:00
50,50,0 days 00:16:00,715.408058608059,12.608132333925752,-29.47222222222222,2020-11-13 08:26:00,2020-11-13 08:42:00
51,51,0 days 00:24:00,957.4109311740885,17.715447720886388,-40.61346153846149,2020-11-16 09:22:00,2020-11-16 09:46:00
52,52,0 days 00:12:00,3126.614551083591,54.09811081821332,-141.46309523809526,2020-11-25 08:36:00,2020-11-25 08:48:00
53,53,0 days 00:12:00,3126.614551083591,54.09811081821332,-141.46309523809526,2020-11-25 08:36:00,2020-11-25 08:48:00
54,54,0 days 00:18:00,3927.800921658986,78.81543380387131,-185.9351551956815,2020-11-25 10:00:00,2020-11-25 10:18:00
55,55,0 days 00:04:00,1829.0785773366417,63.4035486508773,586.6901709401709,2020-11-25 10:04:00,2020-11-25 10:08:00
56,56,0 days 00:52:00,2953.9618055555557,43.94268872699926,-66.28869895536563,2020-11-26 11:14:00,2020-11-26 12:06:00
57,57,0 days 00:22:00,1195.6710526315783,11.930165907172324,20.504560810810897,2020-11-26 15:46:00,2020-11-26 16:08:00
58,58,0 days 00:36:00,11927.0,95.54594248177521,-222.1352226720647,2020-11-27 18:52:00,2020-11-27 19:28:00
59,59,0 days 00:30:00,8999.8,81.9474796037296,-218.00504807692312,2020-11-28 00:12:00,2020-11-28 00:42:00
60,60,0 days 00:06:00,2008.8618421052633,38.533868745046775,-475.01874999999995,2020-12-02 11:14:00,2020-12-02 11:20:00
61,61,0 days 00:14:00,5363.455465587044,92.24764475868939,-218.385016025641,2020-12-02 14:06:00,2020-12-02 14:20:00
62,62,0 days 00:10:00,3742.0633928571433,66.3526753146088,-282.68454790823216,2020-12-02 15:02:00,2020-12-02 15:12:00
