,group,timespan,magnitude,drop,shape,startdate,enddate
0,0,0 days 00:10:00,2445.854399935325,27.890832791669638,-426.98619216196056,2020-08-07 02:54:00,2020-08-07 03:04:00
1,1,0 days 00:06:00,931.3684210526317,17.20915305993445,-242.395032051282,2020-08-07 11:00:00,2020-08-07 11:06:00
2,2,0 days 00:40:00,1608.7714285714283,24.788138391304543,-12.25531135531132,2020-08-07 14:00:00,2020-08-07 14:40:00
3,3,0 days 00:42:00,1853.4210526315792,24.650697205577643,-16.383077395577402,2020-08-07 16:00:00,2020-08-07 16:42:00
4,4,0 days 00:12:00,7590.056561085973,99.1695581717214,-1116.2880252100842,2020-08-07 17:12:00,2020-08-07 17:24:00
5,5,0 days 00:06:00,1892.9355311355312,99.96680485082494,471.2521367521367,2020-08-07 17:42:00,2020-08-07 17:48:00
6,6,0 days 00:48:00,3031.1675675675688,33.70747614396275,-37.062222222222225,2020-08-08 00:00:00,2020-08-08 00:48:00
7,7,0 days 00:20:00,1967.9643962848295,25.4684999587313,-151.87332842596004,2020-08-08 05:00:00,2020-08-08 05:20:00
8,8,0 days 00:52:00,7252.2129629629635,72.1328792405427,-46.471984805318144,2020-08-11 21:00:00,2020-08-11 21:52:00
9,9,0 days 01:14:00,7537.1,68.49729631480892,-42.57617728531855,2020-08-12 20:08:00,2020-08-12 21:22:00
10,10,0 days 00:16:00,399.88076923076915,7.3694021916332275,-45.35833333333327,2020-08-13 20:48:00,2020-08-13 21:04:00
11,11,0 days 00:42:00,715.583333333333,13.975554579040733,4.268181818181802,2020-08-13 21:06:00,2020-08-13 21:48:00
12,12,0 days 01:56:00,4612.088235294118,91.5262448272038,-20.518462469733667,2020-08-21 05:40:00,2020-08-21 07:36:00
13,13,0 days 01:50:00,2759.1,83.10291858678956,-8.185267857142861,2020-08-21 07:46:00,2020-08-21 09:36:00
14,14,0 days 01:02:00,1320.7194444444444,33.7497222772344,-4.809375000000003,2020-09-02 10:04:00,2020-09-02 11:06:00
15,15,0 days 00:28:00,3888.254668930391,67.72596643779673,-69.11576068376066,2020-09-02 14:02:00,2020-09-02 14:30:00
16,16,0 days 00:58:00,3212.2557354925775,37.710135871928706,-18.982542735042717,2020-09-02 18:00:00,2020-09-02 18:58:00
17,17,0 days 01:00:00,2404.2698717948724,30.19121516416982,-24.674193548387084,2020-09-02 19:00:00,2020-09-02 20:00:00
18,18,0 days 01:20:00,2743.9027777777774,37.875522904261075,-8.025636185154415,2020-09-03 14:14:00,2020-09-03 15:34:00
19,19,0 days 00:36:00,2470.7615384615387,38.573705188852024,-58.8842105263158,2020-09-04 02:50:00,2020-09-04 03:26:00
20,20,0 days 01:38:00,7389.583333333333,99.80753213425477,-26.28933333333337,2020-09-04 16:00:00,2020-09-04 17:38:00
21,21,0 days 00:36:00,2215.3592436974786,25.329867337254598,-16.489777327935276,2020-09-04 19:02:00,2020-09-04 19:38:00
22,22,0 days 00:10:00,1176.6589743589743,29.658495285244328,-183.3263157894737,2020-09-08 07:14:00,2020-09-08 07:24:00
23,23,0 days 00:08:00,1312.827365728901,16.14577689650926,-191.4,2020-09-08 17:42:00,2020-09-08 17:50:00
24,24,0 days 00:12:00,1096.2848232848232,26.358994353925638,-143.09523809523813,2020-09-23 07:14:00,2020-09-23 07:26:00
25,25,0 days 01:12:00,1685.3083333333334,25.174208003983324,-4.910668563300139,2020-09-23 14:14:00,2020-09-23 15:26:00
26,26,0 days 00:46:00,2591.4213362068967,38.60977212126817,-20.718269230769238,2020-09-23 16:00:00,2020-09-23 16:46:00
27,27,0 days 04:52:00,4917.541666666666,99.06858523334894,-15.300848274532528,2020-09-24 02:44:00,2020-09-24 07:36:00
28,28,0 days 00:06:00,1318.43125,37.88017274661735,-349.34038461538466,2020-09-25 06:00:00,2020-09-25 06:06:00
29,29,0 days 00:20:00,852.6485671191554,23.81307628570501,-30.369289044289044,2020-10-02 06:56:00,2020-10-02 07:16:00
30,30,0 days 02:42:00,3156.085135135135,33.026794729295176,-7.560350218886791,2020-10-03 21:46:00,2020-10-04 00:28:00
31,31,0 days 01:10:00,1828.1324324324323,22.99412576572412,-3.0652190652190763,2020-10-14 14:14:00,2020-10-14 15:24:00
32,32,0 days 00:06:00,1159.3419540229897,12.009446792879913,-255.79914529914504,2020-10-14 18:00:00,2020-10-14 18:06:00
33,33,0 days 00:26:00,1853.2484848484855,19.671323326960348,-96.37857142857145,2020-10-15 21:00:00,2020-10-15 21:26:00
34,34,0 days 01:08:00,2953.3557692307686,67.40577096813129,-25.311428571428575,2020-10-16 06:00:00,2020-10-16 07:08:00
35,35,0 days 01:06:00,9380.026315789473,82.66870454208104,-70.51923374613007,2020-10-16 21:00:00,2020-10-16 22:06:00
36,36,0 days 00:44:00,1634.0295031055903,17.412070133753176,-27.16610925306581,2020-10-17 00:00:00,2020-10-17 00:44:00
37,37,0 days 00:08:00,815.5328947368421,16.635465355809004,-144.20499999999993,2020-10-19 06:02:00,2020-10-19 06:10:00
38,38,0 days 00:46:00,3353.8031674208146,69.51226374483832,-27.064583333333342,2020-10-19 09:26:00,2020-10-19 10:12:00
39,39,0 days 00:50:00,8346.657894736842,79.3736157859833,-52.159969635627476,2020-10-19 17:52:00,2020-10-19 18:42:00
40,40,0 days 00:56:00,7287.839285714286,73.41339295832665,-54.33362068965515,2020-10-19 21:44:00,2020-10-19 22:40:00
41,41,0 days 00:08:00,2183.7639358607103,30.710213864853998,-445.94842819778313,2020-10-20 02:54:00,2020-10-20 03:02:00
42,42,0 days 03:06:00,7042.452440033086,99.03782044153782,-34.52416013437851,2020-10-20 02:54:00,2020-10-20 06:00:00
43,43,0 days 00:16:00,1045.7055555555544,10.406785002446512,-15.527065527065538,2020-10-24 14:34:00,2020-10-24 14:50:00
44,44,0 days 00:34:00,6341.193452380952,73.75726965576449,-81.25925925925932,2020-11-02 22:04:00,2020-11-02 22:38:00
45,45,0 days 02:02:00,6842.825,99.98538828798223,-43.87270797962648,2020-11-03 04:00:00,2020-11-03 06:02:00
46,46,0 days 00:56:00,9022.671328671328,75.96562758506997,-52.36074270557031,2020-11-09 18:32:00,2020-11-09 19:28:00
47,47,0 days 00:24:00,957.4109311740885,17.715447720886388,-40.61346153846149,2020-11-16 09:22:00,2020-11-16 09:46:00
48,48,0 days 03:46:00,11355.008012820514,99.93124506374816,-67.80951481574746,2020-11-25 03:52:00,2020-11-25 07:38:00
49,49,0 days 00:28:00,3126.614551083591,54.09811081821332,-28.941666666666666,2020-11-25 08:36:00,2020-11-25 09:04:00
50,50,0 days 00:04:00,1662.7805429864252,38.52870928779325,392.3092006033182,2020-11-25 08:40:00,2020-11-25 08:44:00
51,51,0 days 00:42:00,3927.800921658986,78.81543380387131,-53.568660287081336,2020-11-25 10:00:00,2020-11-25 10:42:00
52,52,0 days 00:52:00,2953.9618055555557,43.94268872699926,-66.28869895536563,2020-11-26 11:14:00,2020-11-26 12:06:00
53,53,0 days 00:58:00,11927.0,95.54594248177521,-64.36784313725487,2020-11-27 18:52:00,2020-11-27 19:50:00
54,54,0 days 00:56:00,8999.8,81.9474796037296,-70.47254283461183,2020-11-28 00:12:00,2020-11-28 01:08:00
55,55,0 days 00:06:00,2008.8618421052633,38.533868745046775,-475.01874999999995,2020-12-02 11:14:00,2020-12-02 11:20:00
56,56,0 days 00:24:00,5363.455465587044,92.24764475868939,-61.846548323471396,2020-12-02 14:06:00,2020-12-02 14:30:00
57,57,0 days 00:16:00,3742.0633928571433,66.3526753146088,-116.18713450292398,2020-12-02 15:02:00,2020-12-02 15:18:00
58,58,0 days 00:22:00,2226.2000000000007,26.683553811793573,-25.345833333333303,2020-12-02 16:50:00,2020-12-02 17:12:00
59,59,0 days 00:58:00,2621.175,45.983106152307776,-13.640064102564095,2020-12-04 12:24:00,2020-12-04 13:22:00
60,60,0 days 00:18:00,8093.4400000000005,95.38032205754799,-157.78000000000003,2020-12-09 14:22:00,2020-12-09 14:40:00
61,61,0 days 02:20:00,8318.108108108108,100.0,-93.62657999277738,2020-12-13 10:04:00,2020-12-13 12:24:00
62,62,0 days 00:12:00,3231.314285714285,22.875450799860033,-419.02029784886923,2020-12-13 16:14:00,2020-12-13 16:26:00
