,date
0,2016-12-19
1,2016-12-12
2,2016-12-05
3,2016-11-30
4,2016-11-21
5,2016-11-14
6,2016-11-07
7,2016-10-31
8,2016-10-24
9,2016-10-17
10,2016-10-10
11,2016-10-03
12,2016-09-26
13,2016-09-19
14,2016-09-12
15,2016-09-05
16,2016-08-30
17,2016-08-22
18,2016-08-15
19,2016-08-08
20,2016-08-01
21,2016-07-25
22,2016-07-18
23,2016-07-11
24,2016-07-04
25,2016-06-27
26,2016-06-20
27,2016-06-13
28,2016-06-06
29,2016-05-31
30,2016-05-23
31,2016-05-16
32,2016-05-09
33,2016-05-03
34,2016-04-25
35,2016-04-18
36,2016-04-11
37,2016-04-04
38,2016-03-29
39,2016-03-21
40,2016-03-14
41,2016-03-07
42,2016-02-29
43,2016-02-22
44,2016-02-15
45,2016-02-08
46,2016-02-01
47,2016-01-29
48,2016-01-27
49,2016-01-25
50,2016-01-18
51,2016-01-18
52,2016-01-11
53,2016-01-04
54,2015-12-21
55,2015-12-14
56,2015-12-07
57,2015-11-30
58,2015-11-25
59,2015-11-23
60,2015-11-16
61,2015-11-09
62,2015-11-02
63,2015-10-26
64,2015-10-19
65,2015-10-12
66,2015-10-05
67,2015-09-28
68,2015-09-25
69,2015-09-21
70,2015-09-14
71,2015-09-07
72,2015-09-01
73,2015-08-24
74,2015-08-17
75,2015-08-10
76,2015-08-03
77,2015-07-27
78,2015-07-20
79,2015-07-13
80,2015-07-06
81,2015-06-29
82,2015-06-22
83,2015-06-15
84,2015-06-08
85,2015-06-01
86,2015-05-26
87,2015-05-26
88,2015-05-18
89,2015-05-11
90,2015-05-05
91,2015-04-29
92,2015-04-27
93,2015-04-20
94,2015-04-13
95,2015-04-07
96,2015-03-30
97,2015-03-23
98,2015-03-16
99,2015-03-02
100,2015-02-23
101,2015-02-16
102,2015-02-09
103,2015-02-02
104,2015-01-26
105,2015-01-19
106,2015-01-12
107,2015-01-05
108,2014-12-26
109,2014-12-19
110,2014-12-15
111,2014-12-12
112,2014-12-08
113,2014-12-05
114,2014-12-01
115,2014-12-01
116,2014-11-24
117,2014-11-17
118,2014-11-10
119,2014-11-03
120,2014-10-27
121,2014-10-20
122,2014-10-13
123,2014-10-06
124,2014-09-29
125,2014-09-29
126,2014-09-22
127,2014-09-15
128,2014-09-08
129,2014-09-01
130,2014-08-29
131,2014-08-26
132,2014-08-18
133,2014-08-11
134,2014-08-04
135,2014-07-28
136,2014-07-22
137,2014-07-14
138,2014-07-10
139,2014-07-07
140,2014-07-01
141,2014-06-23
142,2014-06-09
143,2014-06-02
144,2014-05-27
145,2014-05-19
146,2014-05-12
147,2014-05-06
148,2014-04-30
149,2014-04-28
150,2014-04-25
151,2014-04-22
152,2014-04-14
153,2014-04-07
154,2014-03-31
155,2014-03-26
156,2014-03-24
157,2014-03-17
158,2014-03-10
159,2014-03-07
160,2014-03-03
161,2014-02-24
162,2014-02-17
163,2014-02-11
164,2014-02-04
165,2014-01-27
166,2014-01-21
167,2014-01-15
168,2014-01-13
169,2014-01-07
170,2013-12-17
171,2013-12-11
172,2013-12-03
173,2013-11-26
174,2013-11-19
175,2013-11-13
176,2013-11-06
177,2013-10-30
178,2013-10-30
179,2013-10-22
180,2013-10-15
181,2013-10-08
182,2013-10-02
183,2013-09-25
184,2013-09-10
185,2013-09-01
186,2013-08-29
187,2013-08-20
188,2013-08-13
189,2013-07-29
190,2013-07-25
191,2013-07-24
192,2013-07-22
193,2013-07-16
194,2013-07-09
195,2013-07-03
196,2013-07-03
197,2013-06-27
198,2013-06-24
199,2013-06-17
200,2013-06-15
201,2013-06-11
202,2013-06-04
203,2013-05-31
204,2013-05-29
205,2013-05-20
206,2013-05-16
207,2013-05-13
208,2013-05-03
209,2013-04-30
210,2013-04-29
211,2013-04-24
212,2013-04-17
213,2013-04-16
214,2013-04-09
215,2013-04-03
216,2013-04-02
217,2013-03-25
218,2013-03-21
219,2013-03-12
220,2013-03-04
221,2013-03-04
222,2013-02-13
223,2013-02-12
224,2013-02-05
225,2013-02-05
226,2013-01-28
227,2013-01-21
228,2013-01-14
229,2013-01-14
230,2013-01-07
231,2013-01-03
232,2012-12-28
233,2012-12-21
234,2012-12-19
235,2012-12-14
236,2012-12-13
237,2012-12-11
238,2012-12-10
239,2012-12-07
240,2012-12-04
241,2012-11-30
242,2012-11-29
243,2012-11-28
244,2012-11-28
245,2012-11-23
246,2012-11-20
247,2012-11-19
248,2012-11-18
249,2012-11-17
250,2012-11-16
251,2012-11-16
252,2012-11-15
253,2012-11-15
254,2012-11-14
255,2012-11-13
256,2012-11-13
257,2012-11-12
258,2012-11-11
259,2012-11-09
260,2012-11-07
261,2012-11-06
262,2012-11-02
263,2012-11-02
264,2012-10-24
265,2012-10-17
266,2012-10-17
267,2012-10-11
268,2012-10-11
269,2012-10-09
270,2012-10-02
271,2012-10-01
272,2012-09-28
273,2012-09-28
274,2012-09-26
275,2012-09-26
276,2012-09-19
277,2012-09-10
278,2012-09-05
279,2012-08-31
280,2012-08-31
281,2012-08-29
282,2012-08-28
283,2012-08-28
284,2012-08-27
285,2012-08-23
286,2012-08-23
287,2012-08-17
288,2012-08-14
289,2012-08-14
290,2012-08-10
291,2012-08-10
292,2012-08-10
293,2012-08-07
294,2012-08-02
295,2012-08-01
296,2012-07-26
297,2012-07-25
298,2012-07-24
299,2012-07-20
300,2012-07-19
301,2012-07-19
302,2012-07-17
303,2012-07-11
